,feature,importance,
6517,1-PHOSPHATIDYLINOSITOL-4;5-BISPHOSPHATE PHOSPHODIESTERASE BETA 3,0,ALL
4782,An acute myeloid leukaemia protein (1793bp),0,ALL
2562,BCL6 B cell lymphoma protein 6 (zinc finger protein 51),0,ALL
2353,CCND3 Cyclin D3,0,ALL
5036,CHD5 protein,0,ALL
4572,DCC Deleted in colorectal carcinoma,0,ALL
4397,DNMT DNA methyltransferase,0,ALL
3493,Enhancer of zeste homolog 2 (EZH2) mRNA,0,ALL
2747,ETV6 Ets variant gene 6 (TEL oncogene),0,ALL
1589,GB DEF = (clone PEBP2aA1) core-binding factor; runt domain; alpha subunit 1 (CBFA1) mRNA; 3' end of cds,0,ALL
5209,GB DEF = LAZ3/BCL6 gene; first non coding exon,0,ALL
3227,Histamine N-methyltransferase,0,ALL
1106,IL7 Interleukin 7,0,ALL
1908,IL7R Interleukin 7 receptor,0,ALL
4036,NRAS Neuroblastoma RAS viral (v-ras) oncogene homolog,0,ALL
351,PHOSPHATIDYLINOSITOL,0,ALL
350,PHOSPHATIDYLINOSITOL,0,ALL
3240,Phosphatidylinositol (4;5) bisphosphate 5-phosphatase homolog mRNA; partial cds,0,ALL
3241,Phosphatidylinositol (4;5)bisphosphate 5-phosphatase homolog mRNA; partial cds,0,ALL
3239,Phosphatidylinositol (4;5)bisphosphate 5-phosphatase homolog mRNA; partial cds,0,ALL
5145,Phosphatidylinositol 3-kinase,0,ALL
5110,PHOSPHATIDYLINOSITOL 3-KINASE CATALYTIC SUBUNIT; ALPHA ISOFORM,0,ALL
899,Phosphatidylinositol 3-Kinase P110; Beta Isoform,0,ALL
2100,PHOSPHATIDYLINOSITOL 3-KINASE REGULATORY ALPHA SUBUNIT,0.001979167,ALL
822,Translocation-Associated Notch (Drosophila) Homolog 1,0,ALL
455,U2AF1-RS2 mRNA,0,ALL
4212,WT1 Wilms tumor 1,0,ALL
6332,WT1 Wilms tumor 1,0,ALL
6976,WT1 Wilms tumor 1,0,ALL
5901,CBL Cas-Br-M (murine) ecotropic retroviral transforming sequence,0,AML
2964,Cbl-b mRNA,0,AML
2965,Cbl-b truncated form 1 lacking leucine zipper mRNA,0,AML
6885,FLT3LG Fms-related tyrosine kinase 3 ligand,0,AML
6540,GB DEF = CCAAT/enhancer binding protein alpha gene,0,AML
4484,IDH2 Isocitrate dehydrogenase 2 (NADP+); mitochondrial,0,AML
5526,MYH11 Myosin; heavy polypeptide 11; smooth muscle,0,AML
1464,NFIX Nuclear factor I/X (CCAAT-binding transcription factor),0,AML
3577,NPM1 Nucleophosmin (nucleolar phosphoprotein B23; numatrin),0,AML
1838,NPM1 Nucleophosmin (nucleolar phosphoprotein B23; numatrin),0,AML
5895,Oncogene Mll-Af4; Fusion Activated,0,AML
6357,PML Probable transcription factor PML {alternative products},0,AML
5896,PML Probable transcription factor PML {alternative products},0,AML
2239,PML Probable transcription factor PML {alternative products},0,AML
1171,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE SRC,0,AML
197,PTPN11 Protein tyrosine phosphatase; non-receptor type 11,0,AML
5313,Ras GTPase-activating-like protein (IQGAP1) mRNA,0,AML
5603,Ras GTPase-activating-like protein (IQGAP1) mRNA,0,AML
2941,Ras GTPase-activating-like protein (IQGAP1) mRNA,0,AML
5664,Ras homologue enriched in brain (RHEB) gene; Ras-related GTP binding protein gene,0,AML
1020,Ras Inhibitor Inf,0,AML
1508,Ras inhibitor mRNA; 3' end,0,AML
1996,Ras inhibitor mRNA; 3' end,0,AML
1836,RASA1 GTPase-activating protein ras p21 (RASA),0,AML
3356,RasGAP-related protein (IQGAP2) mRNA,0,AML
817,Ras-Like Protein Tc10,0,AML
792,Ras-Like Protein Tc21,0,AML
793,Ras-Like Protein Tc4,0,AML
790,Ras-Related C3 Botulinum Toxin Substrate,0,AML
118,RAS-RELATED PROTEIN RAB-11A,0,AML
1882,RAS-RELATED PROTEIN RAB-1A,0,AML
1884,RAS-RELATED PROTEIN RAB-4A,0,AML
1887,RAS-RELATED PROTEIN RAB-5A,0,AML
4296,RAS-RELATED PROTEIN RAB-8,0,AML
927,Ras-Related Protein Rap1b,0,AML
1729,RAS-RELATED PROTEIN R-RAS,0,AML
2968,Ras-responsive element binding protein (RREB-1) mRNA,0,AML
7109,Ras-Specific Guanine Nucleotide-Releasing Factor,0,AML
5763,Ras-specific guanine nucleotide-releasing factor,0,AML
4090,Receptor of retinoic acid,0,AML
1380,Transcription factor (CBFB) mRNA; 3' end,0,AML
2832,(AF1q) mRNA,0,
2881,(apoargC) long mRNA,0,
2791,(ard-1) mRNA,0,
1256,(chromosome 3p25) membrane protein mRNA,0,
6833,(clone 14VS) metallothionein-IG (MT1G) gene,0,
1609,(clone 35.3) DRAL mRNA,0,
1475,(clone 8B1) Br-cadherin mRNA,0,
5320,(clone cc44) senilin 1 (PS1; S182) mRNA,0,
6144,(clone cc44) senilin 1 (PS1; S182) mRNA,0,
1199,(clone CC6) NADH-ubiquinone oxidoreductase subunit mRNA; 3' end cds,0,
1268,(clone CTG-A4) mRNA sequence,0,
1269,(clone CTG-B43a) mRNA sequence,0,
1527,(clone E5.1) RNA-binding protein mRNA,0,
5317,(clone EST02946) mRNA,0,
6131,(clone EST02946) mRNA,0,
